Sample,normal,Sample(2),average Cq (HSC70),Delta Cq,Delta Delta Cq,average delta Cq control,2^-DeltaDeltaCq,Control,HS Treatment,Treatment,STDEV,t-value,p-value
4,40,C-1,27.265,(12.74),(3.53),(9.21),11.54 ,6.36 ,13.07 ,C,10.62478065,1.123,0.276
11,40,C-10,34.085,(5.92),3.29 ,,0.10 ,,,C,,,
2,40,C-2,26.655,(13.35),(4.14),,17.61 ,,,C,,,
17,40,C-3,30.035,(9.97),(0.76),,1.69 ,,,C,,,
18,40,C-4,33.38,(6.62),2.59 ,,0.17 ,,,C,,,
10,40,C-5,31.375,(8.63),0.58 ,,0.67 ,,,C,,,
19,40,C-6,33.135,(6.86),2.34 ,,0.20 ,,,C,,,
16,40,C-7,33.08,(6.92),2.29 ,,0.20 ,,,C,,,
7,40,C-8,33.095,(6.91),2.30 ,,0.20 ,,,C,,,
6,40,C-9,25.83,(14.17),(4.96),,31.20 ,,,C,,,
1,40,HS-10,24.73,(15.27),(6.06),,66.88 ,,,HS,22.95592017,0.839,0.412
14,40,HS-1,26.135,(13.87),(4.66),,25.26 ,,,HS,,,
3,40,HS-2,25.6,(14.40),(5.19),,36.59 ,,,HS,,,
12,40,HS-3,32.445,(7.56),1.65 ,,0.32 ,,,HS,,,
8,40,HS-4,33.54,(6.46),2.75 ,,0.15 ,,,HS,,,
5,40,HS-5,39.36,(0.64),8.57 ,,0.00 ,,,HS,,,
9,40,HS-6,31.135,(8.87),0.34 ,,0.79 ,,,HS,,,
20,40,HS-7,34.96,(5.04),4.17 ,,0.06 ,,,HS,,,
13,40,HS-8,33.635,(6.37),2.84 ,,0.14 ,,,HS,,,
15,40,HS-9,31.765,(8.24),0.97 ,,0.51 ,,,HS,,,
